project_id,template,n_truth,n_parsed,n_resolved,tp,fp,fn,cost_ok,loading_abs_err
Q11-0004,C,5,5,5,5,0,0,True,0.0
Q11-0001,B,16,17,16,16,0,0,True,0.0
Q11-0014,B,10,11,10,10,0,0,True,0.0
Q11-0018,B,3,3,3,3,0,0,True,0.0
Q11-0006,A,25,25,25,25,0,0,True,0.0
Q11-0017,C,0,0,0,0,0,0,True,0.0
Q11-0036,C,3,3,3,3,0,0,True,0.0
Q11-0030,A,1,1,1,1,0,0,True,0.0
Q11-0034,C,24,25,24,24,0,0,True,0.0
Q11-0019,C,10,10,10,10,0,0,True,0.0
Q11-0024,B,3,3,3,3,0,0,True,0.0
Q11-0052,C,25,25,25,25,0,0,True,0.0
Q11-0003,B,0,0,0,0,0,0,True,0.0
Q11-0016,B,25,25,25,25,0,0,True,0.0
Q11-0070,C,25,25,25,25,0,0,True,0.0
Q11-0010,C,0,0,0,0,0,0,True,0.0
Q11-0011,A,4,4,4,4,0,0,True,0.0
Q11-0033,B,0,0,0,0,0,0,True,0.0
Q11-0037,A,15,16,15,15,0,0,True,0.0
Q11-0046,B,5,5,5,5,0,0,True,0.0
Q11-0005,B,0,0,0,0,0,0,True,0.0
Q11-0009,C,4,4,4,4,0,0,True,0.0
Q11-0012,B,14,14,14,14,0,0,True,0.0
Q11-0020,C,4,4,4,4,0,0,True,0.0
Q11-0026,B,20,21,20,20,0,0,True,0.0
Q11-0035,B,8,8,8,8,0,0,True,0.0
Q11-0038,C,25,25,25,25,0,0,True,0.0
Q11-0042,B,0,0,0,0,0,0,True,0.0
Q11-0044,B,0,0,0,0,0,0,True,0.0
Q11-0082,C,12,12,12,12,0,0,True,0.0
Q11-0056,B,24,25,24,24,0,0,True,0.0
Q11-0066,C,9,9,9,9,0,0,True,0.0
Q11-0072,C,2,2,2,2,0,0,True,0.0
Q11-0073,B,10,10,10,10,0,0,True,0.0
Q11-0077,A,25,25,25,25,0,0,True,0.0
Q11-0085,B,1,1,1,1,0,0,True,0.0
Q11-0090,C,13,13,13,13,0,0,True,0.0
Q12-0096,C,8,8,8,8,0,0,True,0.0
Q11-0002,A,2,2,2,2,0,0,True,0.0
Q11-0007,C,0,0,0,0,0,0,True,0.0
Q11-0013,B,23,23,23,23,0,0,True,0.0
Q11-0015,B,9,9,9,9,0,0,True,0.0
Q11-0031,C,0,0,0,0,0,0,True,0.0
Q11-0043,B,25,25,25,25,0,0,True,0.0
Q11-0054,B,9,9,9,9,0,0,True,0.0
Q11-0021,C,5,5,5,5,0,0,True,0.0
Q11-0045,B,0,0,0,0,0,0,True,0.0
Q11-0053,B,13,13,13,13,0,0,True,0.0
Q11-0055,B,5,5,5,5,0,0,True,0.0
Q11-0064,B,1,1,1,1,0,0,True,0.0
Q11-0071,C,4,6,4,4,0,0,True,0.0
Q11-0089,B,9,9,9,9,0,0,True,0.0
Q12-0097,B,5,5,5,5,0,0,True,0.0
Q11-0025,A,4,5,4,4,0,0,True,0.0
