project_id,template,n_truth,n_parsed,n_resolved,tp,fp,fn,cost_ok,loading_abs_err
Q11-0010,C,0,0,0,0,0,0,True,0.0
Q11-0005,C,0,0,0,0,0,0,True,0.0
Q11-0006,C,3,3,3,3,0,0,True,0.0
Q11-0017,B,1,1,1,1,0,0,True,0.0
Q11-0025,B,23,25,23,23,0,0,True,0.0
Q11-0030,C,5,5,5,5,0,0,True,0.0
Q11-0007,A,14,14,14,14,0,0,True,0.0
Q11-0008,C,3,4,3,3,0,0,True,0.0
Q11-0013,B,2,2,2,2,0,0,True,0.0
Q11-0011,C,1,1,1,1,0,0,True,0.0
Q11-0014,B,1,1,1,1,0,0,True,0.0
Q11-0020,C,6,6,6,6,0,0,True,0.0
Q11-0022,B,17,17,17,17,0,0,True,0.0
Q11-0043,C,0,0,0,0,0,0,True,0.0
Q11-0059,C,25,25,25,25,0,0,True,0.0
Q11-0024,C,7,7,7,7,0,0,True,0.0
Q11-0037,B,14,14,14,14,0,0,True,0.0
Q11-0041,C,25,25,25,25,0,0,True,0.0
Q11-0009,C,4,4,4,4,0,0,True,0.0
Q11-0031,A,2,2,2,2,0,0,True,0.0
Q11-0053,A,1,1,1,1,0,0,True,0.0
Q11-0001,B,21,21,21,21,0,0,True,0.0
Q11-0026,B,5,5,5,5,0,0,True,0.0
Q11-0040,A,3,3,3,3,0,0,True,0.0
Q11-0077,A,8,8,8,8,0,0,True,0.0
Q11-0033,B,8,8,8,8,0,0,True,0.0
Q11-0044,C,25,25,25,25,0,0,True,0.0
Q11-0045,B,25,25,25,25,0,0,True,0.0
Q11-0049,C,1,1,1,1,0,0,True,0.0
Q11-0051,B,0,0,0,0,0,0,True,0.0
Q11-0023,C,2,2,2,2,0,0,True,0.0
Q11-0042,A,11,14,11,11,0,0,True,0.0
Q11-0063,B,25,25,25,25,0,0,True,0.0
Q11-0073,A,7,7,7,7,0,0,True,0.0
Q11-0079,B,5,5,5,5,0,0,True,0.0
Q11-0080,C,25,25,25,25,0,0,True,0.0
Q11-0084,B,25,25,25,25,0,0,True,0.0
Q11-0089,B,17,17,17,17,0,0,True,0.0
Q12-0091,B,0,0,0,0,0,0,True,0.0
Q11-0016,B,0,0,0,0,0,0,True,0.0
Q11-0050,B,23,25,23,23,0,0,True,0.0
Q11-0052,B,1,1,1,1,0,0,True,0.0
Q11-0060,B,25,25,25,25,0,0,True,0.0
Q11-0061,A,9,10,9,9,0,0,True,0.0
Q11-0062,A,1,1,1,1,0,0,True,0.0
Q11-0002,B,0,0,0,0,0,0,True,0.0
Q11-0028,C,0,0,0,0,0,0,True,0.0
Q11-0038,B,0,0,0,0,0,0,True,0.0
Q11-0071,C,0,0,0,0,0,0,True,0.0
Q11-0078,B,0,0,0,0,0,0,True,0.0
Q12-0104,B,6,6,6,6,0,0,True,0.0
Q11-0012,B,0,0,0,0,0,0,True,0.0
Q11-0015,A,0,0,0,0,0,0,True,0.0
Q11-0027,B,0,0,0,0,0,0,True,0.0
Q11-0048,B,2,3,2,2,0,0,True,0.0
Q11-0056,B,0,0,0,0,0,0,True,0.0
Q11-0069,A,14,14,14,14,0,0,True,0.0
Q11-0019,C,25,25,25,25,0,0,True,0.0
Q11-0029,B,4,4,4,4,0,0,True,0.0
Q11-0032,B,1,1,1,1,0,0,True,0.0
Q11-0035,C,0,0,0,0,0,0,True,0.0
Q11-0076,B,8,8,8,8,0,0,True,0.0
Q11-0081,C,0,0,0,0,0,0,True,0.0
Q11-0090,B,5,5,5,5,0,0,True,0.0
Q12-0099,B,7,7,7,7,0,0,True,0.0
Q12-0102,B,0,0,0,0,0,0,True,0.0
Q12-0114,A,6,6,6,6,0,0,True,0.0
Q12-0122,C,2,2,2,2,0,0,True,0.0
Q11-0018,B,17,17,17,17,0,0,True,0.0
Q11-0039,C,8,8,8,8,0,0,True,0.0
Q11-0068,C,7,8,6,6,0,1,True,0.0
Q11-0074,B,14,14,14,14,0,0,True,0.0
Q12-0092,B,16,16,16,16,0,0,True,0.0
Q12-0108,C,2,2,2,2,0,0,True,0.0
Q12-0118,B,0,0,0,0,0,0,True,0.0
Q12-0119,C,11,11,11,11,0,0,True,0.0
Q12-0123,C,1,1,1,1,0,0,True,0.0
Q12-0129,B,16,16,16,16,0,0,True,0.0
Q11-0034,B,0,0,0,0,0,0,True,0.0
Q11-0046,B,21,25,21,21,0,0,True,0.0
Q11-0064,C,12,12,12,12,0,0,True,0.0
Q11-0066,A,5,5,5,5,0,0,True,0.0
Q12-0113,B,5,5,5,5,0,0,True,0.0
Q12-0125,B,13,15,13,13,0,0,True,0.0
Q11-0047,B,0,0,0,0,0,0,True,0.0
Q11-0072,C,5,7,5,5,0,0,True,0.0
Q11-0083,C,3,3,3,3,0,0,True,0.0
Q11-0087,C,7,8,7,7,0,0,True,0.0
Q12-0096,B,2,2,2,2,0,0,True,0.0
Q12-0110,B,0,0,0,0,0,0,True,0.0
Q12-0134,B,10,11,10,10,0,0,True,0.0
Q11-0055,B,3,3,3,3,0,0,True,0.0
Q11-0057,C,0,0,0,0,0,0,True,0.0
Q11-0088,B,4,4,4,4,0,0,True,0.0
Q12-0128,B,15,19,15,15,0,0,True,0.0
Q12-0139,B,0,0,0,0,0,0,True,0.0
